year,seas,fleet,catch,catch se
-999,1,1,0,0.05
-999,2,1,0,0.01
-999,3,1,0,0.01
-999,4,1,0,0.01
#1975,1,1,0,0.01
#1975,2,1,0,0.01
#1975,3,1,0,0.01
#1975,4,1,0,0.01
#1976,1,1,0,0.01
#1976,2,1,0,0.01
#1976,3,1,0,0.01
#1976,4,1,0,0.01
1977,1,1,0,0.01
1977,2,1,0,0.01
1977,3,1,0,0.01
1977,4,1,0,0.01
1978,1,1,0,0.01
1978,2,1,0,0.01
1978,3,1,0,0.01
1978,4,1,0,0.01
1979,1,1,0,0.01
1979,2,1,0,0.01
1979,3,1,0,0.01
1979,4,1,0,0.01
1980,1,1,0,0.01
1980,2,1,0,0.01
1980,3,1,0,0.01
1980,4,1,0,0.01
1981,1,1,0,0.01
1981,2,1,0,0.01
1981,3,1,0,0.01
1981,4,1,0,0.01
1982,1,1,0,0.01
1982,2,1,0,0.01
1982,3,1,0,0.01
1982,4,1,0,0.01
1983,1,1,0,0.01
1983,2,1,0,0.01
1983,3,1,0,0.01
1983,4,1,0,0.01
1984,1,1,0,0.01
1984,2,1,0,0.01
1984,3,1,0,0.01
1984,4,1,0,0.01
1985,1,1,0,0.01
1985,2,1,0,0.01
1985,3,1,0,0.01
1985,4,1,0,0.01
1986,1,1,0,0.01
1986,2,1,0,0.01
1986,3,1,0,0.01
1986,4,1,0,0.01
1987,1,1,0,0.01
1987,2,1,0,0.01
1987,3,1,0,0.01
1987,4,1,0,0.01
1988,1,1,0,0.01
1988,2,1,0,0.01
1988,3,1,0,0.01
1988,4,1,0,0.01
1989,1,1,0,0.01
1989,2,1,0,0.01
1989,3,1,0,0.01
1989,4,1,0,0.01
1990,1,1,0,0.01
1990,2,1,0,0.01
1990,3,1,0,0.01
1990,4,1,0,0.01
1991,1,1,0,0.01
1991,2,1,0,0.01
1991,3,1,0,0.01
1991,4,1,0,0.01
1992,1,1,0,0.01
1992,2,1,0,0.01
1992,3,1,0,0.01
1992,4,1,0,0.01
1993,1,1,0,0.01
1993,2,1,0,0.01
1993,3,1,0,0.01
1993,4,1,0,0.01
1994,1,1,2.04,0.05
1994,2,1,0,0.01
1994,3,1,0,0.01
1994,4,1,0,0.01
1995,1,1,2.3,0.05
1995,2,1,0,0.01
1995,3,1,0,0.01
1995,4,1,0,0.01
1996,1,1,2.34,0.05
1996,2,1,0,0.01
1996,3,1,0,0.01
1996,4,1,0,0.01
1997,1,1,2.67,0.05
1997,2,1,0,0.01
1997,3,1,0,0.01
1997,4,1,0,0.01
1998,1,1,2.27,0.05
1998,2,1,0,0.01
1998,3,1,0,0.01
1998,4,1,0,0.01
1999,1,1,3.1,0.05
1999,2,1,0,0.01
1999,3,1,0,0.01
1999,4,1,0,0.01
2000,1,1,0.98,0.05
2000,2,1,0,0.01
2000,3,1,0,0.01
2000,4,1,0,0.01
2001,1,1,1.1,0.05
2001,2,1,0,0.01
2001,3,1,0,0.01
2001,4,1,0,0.01
2002,1,1,1.07,0.05
2002,2,1,0,0.01
2002,3,1,0,0.01
2002,4,1,0,0.01
2003,1,1,1.14,0.05
2003,2,1,0,0.01
2003,3,1,0,0.01
2003,4,1,0,0.01
2004,1,1,2.7,0.05
2004,2,1,0,0.01
2004,3,1,0,0.01
2004,4,1,0,0.01
2005,1,1,1.87,0.05
2005,2,1,0,0.01
2005,3,1,0,0.01
2005,4,1,0,0.01
2006,1,1,1.23,0.05
2006,2,1,0,0.01
2006,3,1,0,0.01
2006,4,1,0,0.01
2007,1,1,2.14,0.05
2007,2,1,0,0.01
2007,3,1,0,0.01
